1.932,0.96207,-0.86568,0.85231,-0.9927,1.3884,0.042588,-0.1527,0.67579,-0.11705,0.085505,-0.92113,-1.2851,-0.40777,0.11235,-0.92952,0.61313,-0.43439,0.19796,0.36708,6.1305
0.53964,-0.57042,-0.30067,1.7221,-0.36605,1.486,-0.97401,0.95114,-1.8652,-0.59706,-1.0088,0.18721,-0.080201,0.4428,0.16626,1.3082,0.43027,0.35432,0.96692,0.44324,-4.8882
0.22505,0.70344,0.85604,-0.14081,-0.84023,-1.3918,0.85896,-0.16809,0.18306,1.2902,1.2237,0.14982,1.4668,-0.30149,1.2549,0.39073,-0.697,-1.1537,1.3622,0.24753,6.2022
1.9295,-0.11533,1.6658,0.32663,1.363,0.94346,-1.7711,0.25865,-0.97757,1.2458,1.1716,-1.3632,0.67596,1.6982,0.87808,1.8822,1.5222,-0.012144,0.12925,1.1259,3.225
0.097388,-0.020592,1.4381,-0.22247,0.59183,0.86225,2.6191,0.7636,-0.15114,-0.23399,-0.31178,-0.68332,-1.3131,-0.22065,-0.52086,0.53752,1.0606,-0.19011,-0.3201,-0.78686,1.6834
-0.20283,-1.8631,0.3623,1.0815,-0.23951,0.48166,-1.7141,1.6958,-0.40093,1.5169,1.4435,-0.35445,-0.8155,-2.1662,0.48656,-0.24489,0.05844,-0.57952,0.071691,0.90439,12.394
-0.65776,0.17617,-2.8698,-1.2152,0.2437,-1.8628,-0.30068,-0.5057,-0.22409,1.0917,-0.17719,1.3743,0.55226,-0.35122,-0.43082,-0.3475,-0.15906,-0.25564,-0.52855,-1.4517,-2.3038
-0.55532,0.55726,1.3279,-0.11829,-0.1278,-0.89005,1.0183,-0.082261,-0.46486,-1.5587,-0.89812,-0.33885,0.21273,1.2899,-1.9347,-0.57866,-0.34829,-0.60099,-1.3138,-0.45133,-1.5036
1.0439,0.80348,1.8981,-0.40278,1.2456,1.8346,0.93796,0.23426,-0.64361,-0.85175,0.12446,3.2127,0.49229,2.976,-1.2767,-0.097169,1.2424,-0.91172,0.25911,-2.2652,-0.78123
0.33416,-1.5873,0.31742,-2.207,-0.3008,0.82368,0.08316,-0.12718,0.26533,0.9819,-1.1047,0.44293,1.8082,0.067292,0.57431,1.3672,1.3324,0.63497,-1.226,-0.10325,-0.88926
-0.045523,0.40777,0.25083,-1.8265,-1.7512,-0.78889,-0.11937,0.033366,1.3947,0.042337,-1.6553,-1.4739,-0.35402,-1.4369,-0.17789,-0.24856,-0.80007,-0.55326,-0.40913,-0.71931,-0.26535
